CD_MUN;NM_MUN;nitrogen_m;nitrogen_s;clay_mean;clay_sd;cec_mean;cec_sd;sand_mean;sand_sd;ph_mean;ph_sd;soc_mean;soc_sd
3555356;Ubarana;1016.8;44;319.96;22.82;86.34;6.31;494.99;28.89;56.75;0.57;113.43;19.62
3555406;Ubatuba;2079.45;186;388.49;33.74;187.31;33.42;346.83;58.38;51.89;0.91;393.28;118.26
3555505;Ubirajara;1211.03;49;359.79;17.56;88.9;6.15;469.81;25.4;54.62;0.42;139.94;11.56
3555604;Uchoa;918.31;36;325.11;20.64;73.71;6.63;558.41;29.36;55.35;0.41;101.4;5.05
3555703;União Paulista;943.83;37;310.8;17.87;81.18;7.59;526.83;24.94;56.64;0.38;97.14;4.51
3555802;Urânia;890.1;31;303.39;19.36;88.48;4.99;550.78;22.84;56.94;0.45;97.62;3.05
3555901;Uru;1013.4;27;348.4;14.74;77.01;4.33;498.64;27.39;54.34;0.42;108.17;12.77
3556008;Urupês;965.23;46;346.77;20.84;74.2;4.72;497.46;25.62;55.93;0.49;101.64;5.09
3556107;Valentim Gentil;965.58;42;320.06;17.89;79.14;6.93;553.29;20.23;55.86;0.53;104.64;4.63
3556206;Valinhos;1339.96;124;407.99;19.59;90.18;6.4;441.85;29.88;53.5;0.52;169.09;21.45
3556305;Valparaíso;1025.13;40;315.85;17.8;94.11;6.79;534.89;27.35;56.87;0.56;100.32;7.89
3556354;Vargem;1741.29;199;429.01;23.88;114.46;7.23;392.57;16.23;52.18;0.81;199.3;43.89
3556404;Vargem Grande do Sul;1199.56;129;424.97;32.34;96.13;8.3;397.97;29.54;53.57;0.52;135.17;15.45
3556453;Vargem Grande Paulista;1673.22;67;393.76;10.04;107.96;7.77;464.85;7.92;51.83;0.59;194.61;19.96
3556503;Várzea Paulista;1388.88;90;437.11;8.71;102.63;7.96;438.34;6.89;53.61;0.46;188.86;13.22
3556602;Vera Cruz;1287.91;79;362.83;11.42;89.21;7.01;465;19.55;55.14;0.49;153.72;14.37
3556701;Vinhedo;1306.53;92;427.81;15.21;96.59;7.28;430.13;17.95;53.4;0.59;164.52;20.88
3556800;Viradouro;950.17;35;407.28;18.35;90.1;10.6;416.01;21.41;55.78;0.52;122.63;7.96
3556909;Vista Alegre do Alto;943.6;37;395.1;20.46;80.42;4.95;452.66;24.88;55.31;0.51;117.47;9.75
3556958;Vitória Brasil;941.31;33;276.93;8.58;89.16;3.99;587.96;10.55;57.02;0.32;102.88;5.49
3557006;Votorantim;1546.55;234;375.75;25.55;111.09;11.91;469;14.3;54.2;0.59;208.5;42.08
3557105;Votuporanga;959.44;50;317.08;19.44;80.99;8.14;549.77;33.66;55.35;0.48;107.22;7.6
3557154;Zacarias;1001.68;35;305.63;19.95;83.39;6.08;517.09;27.08;56.82;0.45;118.8;28.86
3557204;Chavantes;1276.43;88;425.48;14.08;111.31;11.5;385.6;20.38;54.71;0.52;149;31.88
3557303;Estiva Gerbi;1139.13;69;428.34;15.98;93.88;8.61;402.2;23.45;53.38;0.36;123.62;6.48
